,x_shift,y_shift,cluster
193,-4867.231317529335,-9361.34237348179,cluster_0
194,-4865.096985559343,-9366.338566083796,cluster_1
195,-4930.229507853773,-9213.871831474195,cluster_5
196,-4914.242247282179,-9251.295922064222,cluster_5
197,-4921.231714531169,-9234.934491390664,cluster_5
198,-4873.944568704358,-9345.62752858997,cluster_1
199,-4925.233406950908,-9225.567051674581,cluster_5
200,-4923.983907035214,-9228.491967911965,cluster_5
201,-4894.162054995217,-9298.301031654273,cluster_5
202,-4922.499127811834,-9231.967642303654,cluster_5
203,-4911.388349566237,-9257.976524170996,cluster_5
204,-4896.07898918183,-9293.813738891784,cluster_5
205,-4904.567772534267,-9273.942604887427,cluster_5
206,-4884.674440165668,-9320.510299794632,cluster_5
207,-4874.950415127203,-9343.27297338149,cluster_5
208,-4888.563230598511,-9311.407148895665,cluster_5
209,-4898.846491765259,-9287.335376515279,cluster_5
210,-4877.0734925026145,-9338.30312631662,cluster_5
211,-4900.301842489158,-9283.928590400326,cluster_5
212,-4890.048984582307,-9307.92919271705,cluster_5
213,-4906.314425351343,-9269.853918588555,cluster_5
214,-4894.156104926236,-9298.314959989244,cluster_5
215,-4900.401330761895,-9283.695701337507,cluster_5
216,-4878.400848926521,-9335.195958154127,cluster_5
217,-4893.241893556652,-9300.455009496824,cluster_5
218,-4900.367616101014,-9283.774622958716,cluster_5
219,-4895.291770875926,-9295.656514210441,cluster_5
