,x_shift,y_shift,cluster
212,-11199.637608826886,-8231.53172236798,cluster_5
213,-11173.766317829573,-8274.604746107065,cluster_5
214,-11161.649505067026,-8294.777986159812,cluster_5
215,-11155.64702425775,-8304.771495892981,cluster_5
216,-11165.199433047175,-8288.867723228715,cluster_5
217,-11178.824028481891,-8266.184180971164,cluster_5
218,-11172.06803837235,-8277.43220575661,cluster_5
219,-11140.960515992112,-8329.223013184324,cluster_5
220,-11188.76766173297,-8249.629060041132,cluster_5
221,-11181.701806110628,-8261.392978857157,cluster_5
222,-11137.222793010273,-8335.445935370295,cluster_5
223,-11147.975162713496,-8317.54435189205,cluster_5
224,-11158.055197770196,-8300.762136063193,cluster_5
225,-11143.332014767311,-8325.274712998917,cluster_5
226,-11139.934030441427,-8330.932005460629,cluster_5
227,-11164.875864322366,-8289.406431690013,cluster_5
228,-11159.462738572636,-8298.418726203843,cluster_5
229,-11148.138995737303,-8317.27158685205,cluster_5
230,-11142.050849077534,-8327.407721366191,cluster_5
231,-11173.452061550026,-8275.12795031015,cluster_5
232,-11131.2528540658,-8345.385266264251,cluster_5
233,-11182.725437268009,-8259.688738850484,cluster_5
234,-11156.08105723192,-8304.048875881403,cluster_5
235,-11164.23078793776,-8290.480417152528,cluster_5
236,-11149.13633959523,-8315.611112480168,cluster_5
237,-11165.3879408007,-8288.553877315753,cluster_5
238,-11120.007754473538,-8364.107194046526,cluster_5
239,-11150.819915796668,-8312.8081322308,cluster_5
240,-11138.410193609969,-8333.469036180228,cluster_5
241,-11180.029942350604,-8264.176459102946,cluster_5
242,-11208.179331299223,-8217.310637890136,cluster_5
243,-11185.839433487437,-8254.504257214187,cluster_5
244,-11167.023522106156,-8285.830803604264,cluster_5
245,-11132.26436775738,-8343.70120058487,cluster_5
246,-11227.65965988753,-8184.877905568567,cluster_5
247,-11211.800073364338,-8211.282476831611,cluster_5
248,-11217.048326945389,-8202.544677426515,cluster_5
249,-11179.991412742114,-8264.240606916104,cluster_5
250,-11157.90741618725,-8301.008177114296,cluster_5
251,-11209.680129701015,-8214.81196377315,cluster_5
252,-11203.91322910929,-8224.413256809286,cluster_5
253,-11177.811587377013,-8267.869790697767,cluster_5
254,-11143.308418203964,-8325.313998836386,cluster_5
255,-11150.66492014029,-8313.066183968045,cluster_5
256,-11157.42841425,-8301.805665798429,cluster_5
257,-11169.991943501094,-8280.888688994477,cluster_5
258,-11142.40771895237,-8326.813569934313,cluster_5
259,-11175.750743372624,-8271.30088281964,cluster_5
260,-11133.147768121484,-8342.230430345453,cluster_5
261,-11193.545818853372,-8241.673922622693,cluster_5
262,-11195.963634415404,-8237.648509777584,cluster_5
263,-11166.322126755604,-8286.998554320218,cluster_5
264,-11139.574095513168,-8331.531259889449,cluster_5
265,-11150.835663438358,-8312.781914036108,cluster_5
266,-11155.755760834994,-8304.590460738089,cluster_5
267,-11188.163898174074,-8250.634263921678,cluster_5
268,-11182.792618412552,-8259.576889193115,cluster_5
269,-11155.529084733476,-8304.96785300285,cluster_5
270,-11172.151472347989,-8277.293296816439,cluster_5
271,-11178.48247352105,-8266.752834655206,cluster_5
272,-11166.097403957161,-8287.372694537382,cluster_5
273,-11155.781347135591,-8304.547862193893,cluster_5
274,-11139.119544077614,-8332.288041017082,cluster_5
275,-11170.328671042882,-8280.328072463879,cluster_5
276,-11145.70742664308,-8321.31989790578,cluster_5
277,-11124.364365818448,-8356.853886745363,cluster_5
278,-11200.864528132362,-8229.489028620063,cluster_5
279,-11368.588303532943,-7950.246289624605,cluster_5
280,-11358.911708521353,-7966.356819504656,cluster_5
