,fov,volume,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_10_genes,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_120_genes,n_counts,clusters,cell type
3071341200043100016,,456.0018135988494,1189.768356252826,5932.292018320173,1197.0160279149716,5941.195262744615,1.1305566424244315,129,0.577660859138393,0.985683698874158,35,3.58351893845611,73.0,4.304065,57.534246575342465,100.0,100.0,100.0,73.0,1,LPM-1
3071341200043100019,,226.39010128300777,1187.0806627598247,5935.947191897319,1191.7128139822664,5943.6721504076895,2.3066179735037338,51,0.9082707903446996,0.964583050718622,14,2.70805020110221,25.0,3.2580965,84.0,100.0,100.0,100.0,25.0,1,LPM-1
3071341200043100022,,931.1911208717792,1189.3629939901402,5938.715430277174,1198.6290135107492,5954.592118287092,1.776440210326334,295,0.4445248470308457,0.9477270303852244,53,3.988984046564274,186.0,5.2311087,60.215053763440864,98.38709677419355,100.0,100.0,186.0,1,LPM-1
3071341200043100028,,664.7386901619142,1201.0799648950078,5944.952292649982,1209.4236447218705,5956.159109107832,1.6261810918357988,293,0.4879238965238558,0.9747590170824376,40,3.7135720667043075,233.0,5.4553213,75.9656652360515,100.0,100.0,100.0,233.0,2,CM
3071341200043100034,,657.5611177470068,1202.7530709177508,5954.76989119473,1210.2324445215695,5965.21765286961,1.3829641874394958,283,0.4876141187318837,0.9668643866959976,59,4.0943445622221,184.0,5.220356,52.71739130434783,95.1086956521739,100.0,100.0,184.0,3,CM
3071341200043100037,,1100.0870005869378,1184.695658768654,5956.267423356282,1196.5851676624702,5967.938936912088,1.055703065377605,349,0.3575849910572082,0.984153135063012,61,4.127134385045092,216.0,5.379897,55.092592592592595,94.9074074074074,100.0,100.0,216.0,1,LPM-1
3071341200043100041,,697.9693487935394,1202.989296045087,5964.583083362828,1211.476437148168,5976.227607070336,1.607885456933992,256,0.4856256679700125,0.9859734418260686,53,3.988984046564274,165.0,5.1119876,55.757575757575765,98.18181818181819,100.0,100.0,165.0,4,LPM-3
3071341200043100042,,450.2757561625818,1196.9688062685684,5965.763412367806,1202.371728631775,5976.94751925958,2.129151521160489,181,0.6515623383043004,0.9550225949663004,36,3.6109179126442243,103.0,4.644391,61.165048543689316,100.0,100.0,100.0,103.0,1,LPM-1
3071341200043100044,,828.7514259258033,1189.552095040044,5967.621540204767,1199.5183667536194,5980.169235840393,1.6475307091282234,230,0.4516806451681994,0.9558675638385292,43,3.784189633918261,120.0,4.7957907,51.66666666666667,100.0,100.0,100.0,120.0,1,LPM-1
3071341200043100057,,353.8494528491276,1203.0442371265542,5984.433418343752,1211.2852448808592,5991.038789973431,1.5827288066784642,96,0.6831491253235474,0.9596389192043356,29,3.4011973816621555,51.0,3.9512436,58.82352941176471,100.0,100.0,100.0,51.0,1,LPM-1
3071341200043100067,,823.9465417198917,1202.184893655734,5987.279080953253,1212.8991452153418,5998.676231220256,1.298545943769539,248,0.4746000117167766,0.8744157416002921,41,3.737669618283368,105.0,4.6634393,56.19047619047619,100.0,100.0,100.0,105.0,1,LPM-1
3071341200043100078,,1668.7096767017802,1201.4773441587292,5997.547769244482,1212.5549722435112,6017.569462643416,1.7742992211326691,483,0.3150656791143233,0.9759446159991,53,3.988984046564274,182.0,5.209486,55.494505494505496,98.35164835164835,100.0,100.0,182.0,1,LPM-1
3071341200043100094,,351.3912801066236,1203.3359627845696,6015.690577228943,1208.8307135689868,6024.313967053697,1.8207165046284544,174,0.6656694992681366,1.0,27,3.332204510175204,60.0,4.1108737,70.0,100.0,100.0,100.0,60.0,1,LPM-1
3071341200043100097,,230.58096940971927,1208.2552929929575,6020.702919780388,1213.077843224846,6027.39706083642,1.3045885788145846,80,0.8172090754729043,0.9785877299748588,21,3.0910424533583156,28.0,3.3672957,60.71428571428571,100.0,100.0,100.0,28.0,1,LPM-1
3071341200043100108,,1174.239491056073,1200.042625218621,6033.254521582151,1213.2570820928745,6048.990570987578,1.853336270338651,414,0.4057520560313681,0.902459366722676,55,4.025351690735149,187.0,5.236442,51.33689839572193,97.32620320855615,100.0,100.0,187.0,1,LPM-1
3071341200043100128,,857.331349701421,1197.0236504085856,6048.170539775754,1207.87815088378,6060.455929685058,1.6743409071575095,247,0.451409026418485,0.936960800097716,39,3.6888794541139363,108.0,4.691348,65.74074074074075,100.0,100.0,100.0,108.0,1,LPM-1
3071341200043100143,,1273.081159415879,1187.8456859716205,6060.143227514283,1200.80353012448,6080.345226940391,2.332481637982635,360,0.4393480560714448,0.823394467355551,54,4.007333185232471,168.0,5.1298985,54.166666666666664,97.61904761904762,100.0,100.0,168.0,1,LPM-1
3071341200043100152,,1216.549159136985,1177.6525910179507,6065.696622809704,1192.82840391698,6082.425634510541,2.356890771990639,449,0.415995036461216,0.8670835919209977,63,4.1588830833596715,228.0,5.433722,53.94736842105263,94.2982456140351,100.0,100.0,228.0,1,LPM-1
